CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
C,120,1,1,0,0,Hybrid,SP,60,42.48,365,5114,Sources,2020
C,1440,0,1,0,0,Hybrid,Persistence,60,21.9,365,0,Sources,2020
C,180,1,0,0,0,ML,Persistence,60,67.3882239440441,365,730,Sources,2022
A,60,1,0,0,0,ML,Persistence,60,49.6407069333851,365,1095,Sources,2019
C,1440,1,0,1,0,ML,SP,60,40.6862745098039,731,730,PV,2019
B,120,1,1,0,1,ML,SP,60,19.2193968066233,273.75,821.25,Sources,2015
E,1440,1,0,0,0,ImageBased,Persistence,360,21.8,183,365,Sources,2017
B,60,1,1,0,0,Hybrid,Persistence,60,40.48,366,1461,Sources,2021
B,60,1,1,0,1,ML,SP,60,26.2051144970151,90,1460,Sources,2021
C,2880,1,0,0,1,TS,Persistence,60,12,184,181,PV,2018
C,30,0,0,0,0,ImageBased,SP,30,5.56,99,297,Sources,2013
B,1440,1,0,0,0,ML,Persistence,60,1.71926006528838,31,365,Sources,2021
C,120,1,0,0,0,ML,Persistence,60,15.7753292125773,73,292,Sources,2019
C,360,1,0,0,0,TS,Persistence,60,29.1,365,0,PV,2017
C,1440,1,0,0,0,ML,Persistence,360,43.9,183,365,Sources,2017
D,1440,1,0,0,0,ML,Persistence,360,37.6,183,365,Sources,2017
B,30,1,1,0,0,ML,Persistence,30,8.86075949367089,382,0,Sources,2019
C,1440,1,0,0,0,ML,Persistence,360,28.5,183,365,Sources,2017
C,1440,0,0,0,0,ImageBased,Persistence,60,41,345,345,Sources,2019
D,60,1,1,0,0,ML,SP,60,29.1,27,64,Sources,2018
A,90,1,0,0,0,ML,SP,5,17,91,183,Sources,2015
C,120,1,0,0,0,ML,Persistence,60,26.1488847084117,73,292,Sources,2019
C,60,1,1,0,0,ML,SP,60,11.54,365,3285,Sources,2021
C,2880,1,0,1,1,TS,Persistence,60,19.6,365,365,PV,2019
D,50,1,1,0,0,ML,SP,10,23.89,731,1096,Sources,2020
B,60,1,1,0,0,ML,SP,60,14.448236632537,730,2922,Sources,2021
C,1440,1,0,0,0,ImageBased,Persistence,60,28,365,0,PV,2018
C,10,1,0,0,0,ML,SP,5,15.5,109.770833333333,154.1875,Sources,2018
C,180,1,1,0,0,TS,Persistence,60,57.3108755626543,365,366,Sources,2015
D,10,1,1,0,0,ML,SP,10,3.27,731,1096,Sources,2022
C,1440,1,0,0,0,TS,Persistence,60,20,365,0,PV,2018
C,60,1,1,0,0,ML,SP,60,1.16441546343735,365,366,Sources,2015
A,60,1,0,0,0,TS,SP,60,30.5,365,366,Sources,2017
B,180,1,1,0,1,Reg,SP,60,14.168,350,700,Sources,2015
C,360,1,1,1,0,ML,Persistence,360,48.6988847583643,118,236,Sources,2006
C,180,1,0,1,0,TS,SP,15,32.58,365,853,PV,2021
C,360,1,1,0,0,Reg,SP,60,25.2817022250186,365,730,Sources,2022
C,1440,1,0,0,0,ML,Persistence,360,33.2,183,365,Sources,2017
C,20,1,0,0,0,ML,SP,5,18.5,109.770833333333,154.1875,Sources,2018
C,180,1,0,0,0,ML,Persistence,60,40.2309913378248,73,292,Sources,2019
C,2880,1,0,1,1,TS,Persistence,60,14.5,365,365,PV,2019
D,60,1,1,0,0,Reg,SP,60,-10.2,28,64,Sources,2018
C,5,1,1,0,0,ImageBased,SP,5,11.3,146,183,Sources,2015
B,60,1,1,0,1,ImageBased,SP,1,21,46,0,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,34,184,181,PV,2018
B,120,1,1,0,0,ML,SP,60,11.135,350,700,Sources,2015
B,60,1,0,0,0,ML,Persistence,60,34.6323670570167,731,730,Sources,2019
B,60,1,1,0,1,ML,SP,60,11.57,365,1460,Sources,2021
D,60,1,1,0,0,ML,SP,60,38.3,27,63,Sources,2018
D,15,1,0,0,0,ML,Persistence,15,-90.5,183,365,Sources,2017
C,60,1,0,0,0,ML,Persistence,60,57.962813257882,731,730,Sources,2019
C,300,1,0,0,0,ImageBased,SP,60,65.1,730,731,PV,2018
C,60,1,0,0,0,ImageBased,SP,60,18.1,730,731,PV,2018
C,240,0,1,0,0,ML,SP,60,4,365,1827,Sources,2021
B,20,1,0,0,0,ML,Persistence,5,51.7688679245283,121.666666666667,121.666666666667,Sources,2019
C,1440,0,0,1,0,ML,Persistence,60,37,365,303,PV,2018
A,60,1,0,0,0,TS,Persistence,1,5.35,335,30,PV,2016
C,60,1,1,0,1,ML,SP,60,33.0139472898141,90,1460,Sources,2021
C,60,1,1,0,1,Hybrid,SP,60,44.2815249266862,90,1460,Sources,2021
C,720,1,1,0,0,Hybrid,SP,60,51.8,365,5114,Sources,2020
B,180,1,1,0,1,ML,SP,60,25.0166777851901,183,548,Sources,2015
C,300,1,0,0,0,TS,Persistence,60,32.5148451291928,73,292,Sources,2019
C,30,1,0,0,0,ML,SP,5,10.2,91,183,Sources,2015
A,120,1,0,1,0,TS,SP,60,9.4,365,366,Sources,2016
C,15,1,0,0,0,ML,Persistence,15,3.3,183,365,Sources,2017
A,360,1,1,0,0,TS,SP,60,29.69,365,366,Sources,2015
A,60,1,0,0,0,ML,Persistence,60,37.5,183,365,Sources,2017
C,30,1,0,1,0,TS,SP,15,5.01,365,853,PV,2021
C,120,1,0,0,0,TS,Persistence,60,31.3233223838573,219,876,Sources,2018
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,26,184,181,PV,2018
C,60,1,1,0,1,ML,SP,60,11.1610253673146,246,1460,Sources,2021
C,30,1,0,1,0,ML,Persistence,30,21.1,109.5,511,PV,2019
C,60,1,1,0,0,ML,SP,60,14.61,350,700,Sources,2015
B,60,1,1,0,0,Hybrid,Persistence,60,5.87,150,580,Sources,2022
N,240,1,0,0,0,ML,Persistence,60,49.8374361356247,73,292,Sources,2018
C,360,1,1,0,0,ImageBased,SP,15,34.4,181,731,Sources,2021
D,20,1,1,0,0,ML,SP,10,11.66,731,1096,Sources,2020
N,60,1,0,0,0,ML,Persistence,60,30.5890962312477,73,292,Sources,2018
C,180,1,1,0,0,ML,SP,60,26.1332954383971,365,730,Sources,2022
A,5,1,0,0,1,TS,Persistence,5,7.31818181818181,365,365,Sources,2016
C,2880,1,0,0,1,TS,Persistence,60,29,184,181,PV,2018
C,180,1,1,0,0,TS,SP,60,82,365,365,Sources,2022
C,300,0,1,0,0,ML,SP,60,38.4981355278385,219,876,Sources,2018
C,2880,1,1,1,0,ImageBased,Persistence,15,38.8,365,0,PV,2021
C,60,1,0,0,0,ML,SP,5,17,91,183,Sources,2015
B,150,1,1,0,0,ImageBased,PerClim,15,13.94,91,335,Sources,2022
B,60,1,0,0,0,ML,Persistence,60,41.7,183,365,Sources,2017
C,360,1,1,0,0,ML,Persistence,15,84.1,109.5,255.5,Sources,2016
C,360,1,0,0,0,TS,Persistence,60,43.8608695652174,219,876,Sources,2018
C,30,1,0,1,0,ML,Persistence,30,-24.4,109.5,511,PV,2019
N,180,1,1,0,0,ML,SP,60,33.762,350,700,Sources,2015
B,120,1,1,0,1,Reg,SP,60,15.902,350,700,Sources,2015
C,180,1,1,0,1,Reg,SP,60,16.53,350,700,Sources,2015
C,20,1,0,0,0,ImageBased,SP,5,27.7,109.770833333333,154.1875,Sources,2018
C,10,1,0,0,0,ImageBased,SP,5,24.7,5,129,Sources,2013
B,300,0,1,1,0,NWP,Persistence,15,25.72,731,0,Sources,2019
B,180,1,1,0,1,Reg,SP,60,9.879,350,700,Sources,2015
C,60,1,1,0,1,Reg,SP,60,19.333,350,700,Sources,2015
C,60,1,1,0,0,Ens_Hyb,SP,60,32.6034668657212,730,2922,Sources,2021
C,240,0,1,0,0,ML,SP,60,14.5,365,1827,Sources,2021
C,30,1,1,0,0,ML,SP,30,17.77,120,7305,Sources,2020
D,180,0,1,0,0,ImageBased,SP,15,13.2,123,0,Sources,2020
D,1440,1,0,0,0,ImageBased,Persistence,360,26.3,183,365,Sources,2017
C,60,1,0,0,0,ML,Persistence,60,20.6,183,365,Sources,2017
C,15,1,0,0,0,ML,Persistence,15,-9.11,183,365,Sources,2017
B,60,1,0,0,0,ML,Persistence,60,46.7604136859747,731,730,Sources,2019
C,120,1,1,0,1,Reg,SP,60,25.868,350,700,Sources,2015
D,120,1,0,1,0,ML,Persistence,60,46,365,365,Sources,2016
B,360,1,0,0,0,ImageBased,SP,60,68.1,730,731,PV,2018
D,30,1,1,0,0,Ens,SP,15,10.94,274,548,Sources,2020
B,120,1,1,0,0,ML,SP,60,10.774,350,700,Sources,2015
B,360,1,1,0,0,ML,SP,60,10.5927552140505,273.75,821.25,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,25,365,365,PV,2019
A,15,1,1,0,0,ML,SP,15,9.8,30,178.12,PV,2019
C,60,1,1,0,0,ML,SP,60,17.9249762583096,730,2922,Sources,2021
C,2880,1,0,1,1,TS,Persistence,60,16.9,365,365,PV,2019
C,15,1,0,0,0,ML,Persistence,15,-70.1,183,365,Sources,2017
B,60,1,1,0,0,ML,SP,60,32.52,219,876,Sources,2018
B,180,1,1,0,1,Reg,SP,60,14.306,350,700,Sources,2015
C,180,1,1,0,0,ML,SP,60,2.333,350,700,Sources,2015
A,360,1,1,0,0,TS,SP,60,13.73,365,366,Sources,2015
B,1440,1,0,1,0,NWP,Persistence,60,29.92,731,0,Sources,2019
B,1440,1,0,0,0,ML,Persistence,60,0.312304809494068,30,365,Sources,2021
C,120,0,0,0,0,ImageBased,SP,60,18.5,365,1675,Sources,2018
A,15,1,1,0,0,Ens,SP,15,16.05,274,548,Sources,2020
N,60,1,0,0,0,ML,Persistence,60,31.4,183,365,Sources,2017
D,60,1,0,0,0,ML,SP,60,62.19,28,2920,Sources,2016
D,60,1,0,0,0,ML,SP,60,41.94,31,2920,Sources,2016
D,60,1,1,0,0,Ens,SP,60,36.875,110,256,Sources,2018
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,24,365,0,PV,2018
B,120,1,1,0,0,Reg,SP,60,7.873,350,700,Sources,2015
C,360,1,0,0,0,ML,SP,60,28.4447749242121,365,730,Sources,2022
C,360,1,0,0,0,ML,Persistence,60,71.3467704993129,365,730,Sources,2022
N,180,1,1,0,0,ML,SP,60,26.614,350,700,Sources,2015
C,1440,1,0,1,0,ML,SP,15,37.14,365,853,PV,2021
C,120,1,1,0,1,Reg,SP,60,15.284,350,700,Sources,2015
C,360,1,0,0,0,TS,Persistence,60,33,365,0,PV,2017
B,25,1,0,0,0,ML,Persistence,5,60,121.666666666667,121.666666666667,Sources,2019
C,15,1,0,0,0,ImageBased,Persistence,15,-41,183,365,Sources,2017
D,10,1,1,0,0,ML,SP,10,3.9,731,1096,Sources,2020
C,60,1,1,0,1,Reg,SP,60,1.217,350,700,Sources,2015
D,60,1,1,0,0,Reg,SP,60,46,27,63,Sources,2018
C,60,1,1,0,0,TS,Persistence,60,38.4098216895645,365,366,Sources,2015
A,60,1,0,0,1,TS,Persistence,60,9.74,365,365,Sources,2016
C,1020,1,1,1,1,TS,Persistence,60,81,90,180,Sources,2021
C,2880,1,0,0,1,TS,Persistence,60,17,184,181,PV,2018
C,2880,1,0,1,1,TS,Persistence,60,23.6,365,365,PV,2019
C,30,1,0,0,0,Reg,SP,15,10,365,365,PV,2017
C,1440,1,0,1,1,Hybrid,PerClim,60,0.56,184,181,PV,2020
C,60,1,1,0,0,ML,SP,60,3.596,350,700,Sources,2015
C,15,1,0,0,0,ML,SP,1,2.5,20,365,PV,2019
D,1440,0,1,1,0,Hybrid,SP,60,35.7466063348416,365,365,Sources,2015
E,60,1,1,0,0,Ens,Persistence,60,38,365,183,Sources,2019
C,60,1,0,0,0,Reg,Persistence,60,48.0136130018058,365,730,Sources,2022
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,29,184,181,PV,2018
C,1620,1,0,0,0,TS,Persistence,60,25.9,365,0,PV,2017
B,120,1,1,0,0,ML,SP,60,1.456,350,700,Sources,2015
C,120,1,1,0,0,Hybrid,SP,60,46.17,365,5114,Sources,2020
A,60,1,1,0,0,Hybrid,SP,60,13.58,365,4383,Sources,2021
C,60,1,0,0,0,ML,Persistence,60,9,183,365,Sources,2017
D,1440,1,1,1,0,NWP,Persistence,60,41.62,731,0,Sources,2019
C,60,1,1,0,1,ML,SP,60,32.65,365,1460,Sources,2021
C,120,1,0,0,0,TS,Persistence,60,30.1,365,0,PV,2017
C,15,1,1,0,0,Ens,SP,15,13.31,274,548,Sources,2020
C,60,1,1,0,0,ImageBased,SP,15,17.5,181,731,Sources,2021
C,1440,0,1,0,0,Hybrid,Persistence,60,6,365,0,Sources,2020
C,60,1,1,0,1,ML,SP,60,30.0049725534549,90,1460,Sources,2021
C,180,1,1,0,1,Reg,SP,60,17.7,350,700,Sources,2015
B,30,1,0,0,0,TS,Persistence,15,11.5,1430,1430,PV,2018
A,120,1,0,0,0,ML,SP,5,20.9,91,183,Sources,2015
N,120,1,1,0,1,Reg,SP,60,27.535,350,700,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,14.5,365,365,PV,2019
D,60,1,1,0,0,Ens,SP,15,12.15,274,548,Sources,2020
C,1440,1,0,1,0,NWP,Persistence,60,25.63,731,0,Sources,2019
B,60,1,1,0,0,ImageBased,PerClim,15,11.8,335,335,Sources,2022
C,2880,1,0,1,1,TS,Persistence,60,19.3,365,365,PV,2019
C,180,0,0,0,0,ImageBased,SP,60,14.8,365,1675,Sources,2018
C,60,1,0,0,0,ML,Persistence,10,25.1,109.5,547.5,PV,2019
D,60,1,0,0,0,ML,Persistence,60,-8.3,183,365,Sources,2017
C,300,1,1,0,0,ML,Persistence,60,65.5929242192619,365,366,Sources,2015
C,60,0,0,0,0,ImageBased,SP,60,-7.4,365,1675,Sources,2018
C,1440,1,1,0,0,ML,Persistence,60,23,238,950,Sources,2016
C,360,1,1,1,0,Ens,SP,15,19.14,730,730,Sources,2020
C,300,0,0,0,0,ImageBased,SP,60,22.4,365,1675,Sources,2018
C,5,1,0,0,0,ImageBased,SP,5,14.3,109.770833333333,154.1875,Sources,2018
B,60,1,1,0,1,Hybrid,SP,60,41.0883616518946,90,1460,Sources,2021
C,180,1,1,0,1,Reg,SP,60,12.153,350,700,Sources,2015
D,1440,1,0,0,0,ImageBased,Persistence,360,42,183,365,Sources,2017
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,25,184,181,PV,2018
C,120,1,1,0,0,ML,SP,60,5.898,350,700,Sources,2015
C,1440,0,0,1,1,ML,Persistence,60,53.1,365,2556,Sources,2018
C,360,1,1,0,0,Hybrid,SP,30,54.88,92,7305,Sources,2020
C,60,1,1,0,1,ML,SP,60,-0.881215858755025,254,1460,Sources,2021
B,1440,1,1,0,0,ML,Persistence,60,68.2,365,1096,Sources,2017
A,300,1,0,1,0,ML,SP,60,23.1,365,366,Sources,2016
C,5,1,0,0,0,ImageBased,SP,5,7.7,12,129,Sources,2013
C,240,0,1,0,0,ML,SP,60,2.4,365,1827,Sources,2021
E,60,1,1,0,0,Ens,Persistence,60,15,365,183,Sources,2019
C,120,1,1,0,0,ML,SP,60,2.879,350,700,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,16.9,365,365,PV,2019
C,60,1,1,0,1,ML,SP,60,36.57,365,1460,Sources,2021
N,60,1,1,0,1,Reg,SP,60,8.126,350,700,Sources,2015
A,10,1,1,0,0,ImageBased,SP,1,10.8,13,39,Sources,2017
B,1440,1,0,1,0,NWP,Persistence,60,34.01,731,0,Sources,2019
A,1440,1,1,0,0,Reg,Persistence,60,27.1,365,0,Sources,2018
A,60,1,1,0,0,Ens,Persistence,60,48,365,183,Sources,2019
B,120,1,1,0,1,Reg,SP,60,20.312,350,700,Sources,2015
C,1440,0,0,1,0,ImageBased,Persistence,60,79,730,730,Sources,2020
C,40,1,0,0,0,ML,Persistence,10,16.2,109.5,547.5,PV,2019
A,1440,1,0,0,0,ML,Persistence,360,22.8,183,365,Sources,2017
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,34,184,181,PV,2018
C,60,1,0,0,0,Reg,Persistence,60,48.0552854563134,365,730,Sources,2022
A,300,1,1,0,0,ML,Persistence,60,62.465166130761,365,366,Sources,2015
A,60,1,1,0,0,Ens,Persistence,60,41,365,183,Sources,2019
C,2880,1,0,1,1,TS,Persistence,60,23.1,365,365,PV,2019
C,60,1,1,0,1,Reg,SP,60,5.446,350,700,Sources,2015
B,60,1,0,0,0,ImageBased,Persistence,60,13.7,183,365,Sources,2017
C,60,1,1,0,0,TS,SP,15,12.54,274,548,Sources,2020
B,60,1,0,0,0,ML,SP,60,-2.55804429323001,731,730,Sources,2019
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,29,184,181,PV,2018
B,120,1,1,0,1,ImageBased,SP,1,19.58,46,0,Sources,2015
D,40,1,1,0,0,ML,SP,10,7.94,731,1096,Sources,2022
A,30,1,0,0,1,TS,Persistence,30,17.2921265636497,365,365,Sources,2016
B,180,1,1,0,1,Reg,SP,60,5.594,350,700,Sources,2015
D,40,1,1,0,0,ML,SP,10,18.9,731,1096,Sources,2022
C,10,1,0,0,0,ML,SP,5,17.6,109.770833333333,154.1875,Sources,2018
B,120,1,1,0,1,Reg,SP,60,18.825,350,700,Sources,2015
B,120,1,1,0,0,Reg,SP,60,5.918,350,700,Sources,2015
B,180,1,1,0,1,Reg,SP,60,19.276,350,700,Sources,2015
C,720,1,1,0,0,ML,SP,60,33.45,92,5114,Sources,2020
C,60,1,1,0,1,Reg,SP,60,14.155,350,700,Sources,2015
B,240,0,1,1,0,NWP,Persistence,15,20.54,731,0,Sources,2019
C,2880,1,0,0,1,ML,Persistence,60,-12,184,181,PV,2018
D,15,1,1,0,0,ML,SP,15,12.25,274,548,Sources,2020
C,180,1,1,0,0,ML,SP,60,4.704,350,700,Sources,2015
C,2880,1,0,1,1,ImageBased,Persistence,60,23,184,181,PV,2018
B,60,1,1,0,0,Ens,Persistence,60,38,365,183,Sources,2019
C,120,1,1,0,0,Hybrid,SP,60,18.12,120,5114,Sources,2020
C,360,1,1,1,0,Ens,SP,15,16.86,730,730,Sources,2020
B,60,1,1,0,0,Ens_Hyb,SP,60,35.1186322400558,730,2922,Sources,2021
D,60,1,0,1,0,ML,Persistence,60,30,365,365,Sources,2016
B,120,1,1,0,0,Hybrid,Persistence,60,12.16,150,580,Sources,2022
C,360,1,0,1,1,Ens_Hyb,SP,60,67,77,237,PV,2017
C,120,1,0,0,0,ML,Persistence,60,31.3467855466917,219,876,Sources,2018
A,15,1,0,0,0,ML,Persistence,15,-42.3,183,365,Sources,2017
B,60,1,1,0,0,Ens,Persistence,60,34,365,183,Sources,2019
C,60,1,1,0,1,ML,SP,15,43.7,109.5,255.5,Sources,2016
C,1440,1,0,1,1,Reg,SP,60,41.2429378531073,731,730,PV,2019
C,180,1,0,0,0,ML,Persistence,60,37.7093358999038,73,292,Sources,2019
C,60,1,1,1,1,TS,Persistence,60,49,90,180,Sources,2021
C,1020,1,1,1,1,TS,Persistence,60,80,90,180,Sources,2021
D,60,0,1,0,0,ImageBased,SP,15,18.4,123,0,Sources,2020
N,240,1,0,0,0,ML,Persistence,60,49.07880476854,73,292,Sources,2018
A,1,1,0,0,1,Reg,Persistence,1,11,13,92,Sources,2018
C,120,1,1,0,1,Reg,SP,60,3.84,350,700,Sources,2015
D,60,1,0,0,0,ML,SP,60,38.45,365,2920,Sources,2016
D,60,1,0,0,0,ML,Persistence,60,-14.7074190177638,731,730,Sources,2019
C,1440,0,0,1,0,ML,Persistence,60,84,730,730,Sources,2020
C,180,1,1,0,1,Reg,SP,60,34.372,350,700,Sources,2015
C,60,1,1,0,1,Hybrid,SP,60,32.3233280103933,271,1460,Sources,2021
C,1440,0,0,1,0,ImageBased,Persistence,60,5,365,303,PV,2018
C,360,1,1,1,0,ImageBased,SP,1,-1,730,730,Sources,2020
C,240,1,0,0,0,TS,Persistence,60,46.1815798098984,73,292,Sources,2019
C,180,1,1,0,1,Reg,SP,60,7.216,350,700,Sources,2015
B,300,0,1,1,0,ML,SP,60,32.51,91,274,Sources,2016
C,120,1,0,0,0,ML,Persistence,60,30.8364342339427,219,876,Sources,2018
D,60,1,1,0,0,ML,SP,10,32.93,731,1096,Sources,2020
C,180,0,0,0,0,ImageBased,SP,60,20.3,365,1675,Sources,2018
B,15,1,0,0,0,ML,SP,5,13.3,91,183,Sources,2015
C,1440,1,0,0,0,ImageBased,Persistence,60,27,365,0,PV,2018
D,10,1,1,0,0,ML,Persistence,10,3.76326793181087,365,365,Sources,2021
B,60,1,1,0,1,ML,SP,60,27.7584224494913,56,1460,Sources,2021
C,60,1,1,0,1,Hybrid,SP,60,36.3987983961425,90,1460,Sources,2021
C,1440,1,0,0,0,ImageBased,Persistence,360,32.4,183,365,Sources,2017
B,20,1,0,0,0,ML,SP,5,9.8,24,42,Sources,2016
A,120,1,1,0,0,TS,SP,60,8.51,365,366,Sources,2015
B,60,1,1,0,1,Hybrid,SP,60,31.2060055243696,90,1460,Sources,2021
B,240,1,1,0,0,TS,SP,60,16.2,365,365,Sources,2022
C,180,0,0,0,0,ImageBased,SP,60,17.4,365,1675,Sources,2018
C,60,1,0,0,0,ML,SP,60,15.7200694042799,365,730,Sources,2022
D,60,1,0,0,0,ML,SP,60,61.49,30,2920,Sources,2016
C,180,1,1,0,0,ML,SP,60,8.498,350,700,Sources,2015
C,60,1,1,0,0,ML,SP,60,1.115,350,700,Sources,2015
C,1440,1,0,1,0,ML,SP,15,35.98,365,853,PV,2021
D,1440,1,0,1,0,NWP,Persistence,60,30.21,731,0,Sources,2019
N,180,1,1,0,1,Reg,SP,60,32.635,350,700,Sources,2015
C,360,1,1,0,0,Hybrid,SP,30,29.57,90,7305,Sources,2020
D,60,1,1,0,0,Ens,SP,15,10.98,274,548,Sources,2020
C,120,1,0,0,0,ImageBased,SP,60,41.3,730,731,PV,2018
C,30,1,1,0,0,ImageBased,SP,15,19.5,181,731,Sources,2021
D,60,1,1,0,0,Ens,SP,60,32.9,28,64,Sources,2018
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,25,184,181,PV,2018
C,60,1,1,0,1,ML,SP,60,11.1798822714681,38,1460,Sources,2021
B,120,1,1,0,0,ImageBased,PerClim,15,8.45,335,335,Sources,2022
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,26,365,0,PV,2018
C,60,1,0,0,0,Reg,Persistence,60,-88.1758435963992,731,730,Sources,2019
D,30,1,0,0,1,TS,SP,30,11.76,365,365,Sources,2018
C,1,1,0,0,0,ImageBased,Persistence,1,10.3825136612022,18,72,PV,2018
C,120,1,0,0,0,ML,Persistence,60,21.8758398280032,73,292,Sources,2019
C,1440,0,1,1,0,Hybrid,SP,60,28.1879194630873,365,365,Sources,2015
C,240,1,0,0,0,ML,Persistence,60,44.8361528451437,219,876,Sources,2018
B,60,1,0,0,0,ML,Persistence,60,80.1148796498906,731,730,Sources,2019
D,105,1,1,0,0,Ens,SP,15,13.4,274,548,Sources,2020
B,60,1,1,0,0,TS,SP,60,96,365,365,Sources,2022
D,30,1,1,0,0,ML,SP,10,18.03,731,1096,Sources,2022
C,360,1,1,0,0,ImageBased,SP,15,37.5,181,731,Sources,2021
C,300,1,1,0,0,TS,Persistence,60,68.7924774229588,877,3506,Sources,2018
B,15,1,0,0,0,Ens,SP,1,44.92,279.579875,542.713875,Sources,2016
D,15,1,0,0,0,ML,Persistence,1,67.7312560856865,365,292,Sources,2022
C,30,0,0,1,1,ML,Persistence,30,43.9,103,144,Sources,2019
C,120,1,1,0,1,Reg,SP,60,7.227,350,700,Sources,2015
B,180,0,1,1,0,ML,SP,60,26.81,91,274,Sources,2016
C,30,1,0,0,0,ImageBased,SP,5,14.7,366,730,Sources,2021
C,240,1,1,1,0,ImageBased,SP,1,16,730,730,Sources,2020
C,2880,1,1,1,0,ImageBased,PerClim,15,33.3,365,0,PV,2021
B,1440,1,1,1,0,NWP,Persistence,60,39.24,731,0,Sources,2019
C,1440,1,0,0,0,TS,Persistence,60,21,365,0,PV,2018
C,180,1,0,0,0,TS,Persistence,60,41.996303142329,219,876,Sources,2018
C,300,1,0,1,1,Ens_Hyb,SP,60,65,77,237,PV,2017
B,120,1,1,0,0,TS,SP,60,90.9,365,365,Sources,2022
C,60,1,1,0,1,Hybrid,SP,60,20.4654316712835,38,1460,Sources,2021
C,120,1,1,0,1,Reg,SP,60,9.64,350,700,Sources,2015
D,50,1,1,0,0,ML,SP,10,25.52,731,1096,Sources,2022
C,360,0,1,0,0,ML,SP,60,37.8343621399177,219,876,Sources,2018
B,5,1,0,0,0,TS,Persistence,5,1.01,365,365,Sources,2019
C,30,1,1,0,0,Hybrid,SP,30,16.76,92,7305,Sources,2020
C,30,1,1,0,0,Ens,SP,15,12.62,198,396,Sources,2020
A,300,1,0,1,0,ML,SP,60,29.5,365,366,Sources,2016
C,2880,1,1,1,0,ImageBased,PerClim,15,32.1,365,0,PV,2021
C,60,1,1,0,0,Ens_Hyb,SP,60,36.062038649747,730,2922,Sources,2021
B,60,1,1,0,0,ML,Persistence,60,27,365,183,Sources,2019
A,1440,1,0,0,0,ML,Persistence,360,19.1,183,365,Sources,2017
C,360,1,1,0,0,ML,SP,30,19.63,90,7305,Sources,2020
D,1440,1,0,1,0,Hybrid,Persistence,60,55,458,0,PV,2018
C,300,1,1,0,0,TS,Persistence,60,57.0389190437695,365,366,Sources,2015
A,240,1,0,1,0,ML,SP,60,20.7,365,366,Sources,2016
B,180,1,1,0,1,Reg,SP,60,19.766,350,700,Sources,2015
C,1440,1,1,0,0,ML,Persistence,60,21.3,270,284,Sources,2015
B,300,1,1,0,0,ML,SP,60,27.8593680462839,273.75,821.25,Sources,2015
C,10,1,0,0,0,ML,Persistence,10,6.5,109.5,547.5,PV,2019
B,60,1,1,0,0,ML,SP,60,0.75,219,876,Sources,2018
C,60,1,1,0,1,Hybrid,SP,60,36.195093021157,90,1460,Sources,2021
C,30,1,1,0,0,ImageBased,SP,15,13.9,181,731,Sources,2021
B,60,0,1,0,0,ML,SP,60,4.68,91,274,Sources,2016
B,45,1,0,0,0,ML,SP,5,15,91,183,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,25.4,365,365,PV,2019
D,40,1,1,0,0,ML,SP,10,23.93,731,1096,Sources,2020
C,60,1,1,0,0,ML,SP,60,3.7,350,700,Sources,2015
C,30,0,0,1,1,ML,Persistence,30,28.4,105,144,Sources,2019
C,1440,1,0,1,1,ML,SP,60,45.9195402298851,731,730,PV,2019
C,135,1,0,1,0,TS,SP,15,22.34,365,853,PV,2021
B,180,1,1,0,0,Reg,SP,60,3.02,350,700,Sources,2015
A,60,1,0,1,0,ML,SP,60,3.3,365,366,Sources,2016
A,120,1,0,1,0,TS,SP,60,9.9,365,366,Sources,2016
C,90,1,0,1,0,TS,SP,15,14.65,365,853,PV,2021
C,240,1,1,0,0,TS,Persistence,60,59.2407127052521,365,366,Sources,2015
A,60,1,1,0,0,ML,SP,60,8.44,365,4383,Sources,2021
N,180,1,1,0,1,Reg,SP,60,36.188,350,700,Sources,2015
C,60,1,0,1,0,ML,SP,15,14.67,365,853,PV,2021
C,120,0,0,0,0,ImageBased,SP,30,25.27,99,297,Sources,2013
B,60,1,1,0,0,Ens_Hyb,SP,60,29.5533845080251,730,2922,Sources,2021
C,60,1,1,0,1,ML,SP,60,19.85,365,1460,Sources,2021
B,15,1,0,0,0,TS,SP,1,31.95,279.579875,542.713875,Sources,2016
C,60,1,1,0,1,ML,SP,60,33.2769944698958,246,1460,Sources,2021
C,2880,1,0,0,1,TS,Persistence,60,32,184,181,PV,2018
C,480,1,0,0,0,TS,Persistence,60,25.4,365,0,PV,2017
